,user,artist,weight
217,Abby,å·ç°ã¾ã¿,127
218,Abigale,Aaron Carter,24
219,Abigale,Alejandra GuzmÃ¡n,56
220,Abigale,Alicia Keys,38
221,Abigale,BeyoncÃ©,140
222,Abigale,CPM 22 -  MTV AO VIVO,98
223,Abigale,Chayanne,35
224,Abigale,Cher,22
225,Abigale,Chris Lambert,118
226,Abigale,Christina Aguilera,178
227,Abigale,Cyndi Lauper,73
228,Abigale,CÃ©line Dion,31
229,Abigale,Destiny's Child,58
230,Abigale,Eva Simons,37
231,Abigale,Fergie,58
232,Abigale,Fey,36
233,Abigale,Gloria Estefan,18
234,Abigale,Gwen Stefani,94
235,Abigale,Hilary Duff,42
236,Abigale,Janet Jackson,88
237,Abigale,Jennifer Hudson,24
238,Abigale,Jesse McCartney,21
239,Abigale,Jessica Simpson,57
240,Abigale,Justin Bieber,24
241,Abigale,Justin Timberlake,108
242,Abigale,Katharine McPhee,17
243,Abigale,Ke$ha,45
244,Abigale,Kelly Rowland,47
245,Abigale,Laura Pausini,56
246,Abigale,Leona Lewis,94
247,Abigale,Luminous Orange,29
248,Abigale,M. Pokora,26
249,Abigale,Madonna,151
250,Abigale,Mariah Carey,28
251,Abigale,MÃ³nica Naranjo,89
252,Abigale,Ne-Yo,20
253,Abigale,Nelly Furtado,86
254,Abigale,P!nk,64
255,Abigale,Patricia Rivera,27
256,Abigale,Pitbull,20
257,Abigale,Return to Forever,101
258,Abigale,Rihanna,26
259,Abigale,Silver Apples,87
260,Abigale,Sophie Ellis-Bextor,70
261,Abigale,ThalÃ­a,61
262,Abigale,The Pussycat Dolls,22
263,Abigale,Yuri,21
264,Abra,Air,44
265,Abra,"Arj Barker, Doug Benson & Tony Camin",26
266,Abra,Beastie Boys,9
267,Abra,Beck,9
268,Abra,Big Black,25
269,Abra,Black Flag,5
270,Abra,Caribou,18
271,Abra,David Bowie,21
272,Abra,Esquivel,9
273,Abra,Fugazi,41
274,Abra,Fujiya & Miyagi,9
275,Abra,Guided by Voices,38
276,Abra,James Brown,5
277,Abra,Jay Reatard,18
278,Abra,My Life with the Thrill Kill Kult,8
279,Abra,Nine Inch Nails,81
280,Abra,Nirvana,4
281,Abra,Patton Oswalt,6
282,Abra,Portishead,10
283,Abra,Scharpling & Wurster,9
284,Abra,Spoon,12
285,Abra,Starlight Mints,18
286,Abra,Stereolab,20
287,Abra,Talking Heads,12
288,Abra,The Avalanches,32
289,Abra,The Clientele,41
290,Abra,The Fucking Champs,12
291,Abra,The Hold Steady,12
292,Abra,The Nation of Ulysses,26
293,Abra,The Sea and Cake,15
294,Abra,The Stooges,8
295,Abra,The Wedding Present,5
296,Abra,The Years Gone By,24
297,Abra,The Zombies,21
298,Abra,Wilco,5
299,Abra,XTC,17
300,Abra,of Montreal,12
301,Ada,A Day to Remember,257
302,Ada,Aforementioned News Full British Support,183
303,Ada,Alesana,303
304,Ada,Alkaline Trio,216
305,Ada,All That Remains,113
306,Ada,All Time Low,116
307,Ada,Anti-Flag,80
308,Ada,Army Royal  Compared To,51
309,Ada,Avenged Sevenfold,548
310,Ada,Black Veil Brides,124
311,Ada,Bullet for My Valentine,277
312,Ada,Emel SayÄ±n,156
313,Ada,Evanescence,102
314,Ada,Five Finger Death Punch,200
315,Ada,Flyleaf,79
316,Ada,From First to Last,146
317,Ada,Further European,400
318,Ada,Get Scared,110
319,Ada,Green Day,137
320,Ada,Hawthorne Heights,184
321,Ada,Hollywood Undead,353
322,Ada,I Blame Coco,157
323,Ada,Korea Has Parallel,6
324,Ada,Mutha's Day Out,340
325,Ada,My Chemical Romance,356
326,Ada,Otep,194
327,Ada,Owl City,139
328,Ada,Panic! At the Disco,264
329,Ada,Papa Roach,150
330,Ada,Say Anything,127
331,Ada,Seether,155
332,Ada,Senses Fail,252
333,Ada,Shinedown,121
334,Ada,Sick Puppies,101
335,Ada,Simple Plan,206
336,Ada,Smile Empty Soul,263
337,Ada,System of a Down,103
338,Ada,The Offspring,114
339,Ada,The Sixthlargest,259
340,Ada,The Word Alive,92
341,Ada,Three Days Grace,129
342,Ada,Underoath,111
343,Ada,blink-182,225
344,Ada,ãã£ã« ã¢ã³ ã°ã¬ã¤,6
345,Adaline,A Life Once Lost,1131
346,Adaline,Aloha,135
347,Adaline,Archie Star,1486
348,Adaline,Barbie,1128
349,Adaline,Belphegor,2327
350,Adaline,Displacer,621
351,Adaline,Divididos,587
352,Adaline,Emilia,143
353,Adaline,Eminem Ft. Trick Trick,2378
354,Adaline,Fancy,2744
355,Adaline,Gigi D'Alessio,3154
356,Adaline,Intervention,2320
357,Adaline,Jolette,1346
358,Adaline,Josh Woodward,3873
359,Adaline,Kerry Ellis,2378
360,Adaline,Lisa Marie Presley,346
361,Adaline,Lucie Jones,4240
362,Adaline,Lucio Dalla,1566
363,Adaline,Miss Papaya,3160
364,Adaline,MÃ³dulo 1000,3103
365,Adaline,Nana Caymmi,4007
366,Adaline,One Be Lo ft. J-Spliff,3603
367,Adaline,Otto von Schirach,1027
368,Adaline,Pull Down,3399
369,Adaline,Sacred Reich,30
370,Adaline,State Seal Vocational,3824
371,Adaline,The Mary Onettes,1672
372,Adaline,Times New Viking,1474
373,Adaline,"Vedat YÄ±ldÄ±rÄ±m, ÃzgÃ¼r AkgÃ¼l, Mehmet Erdem",173
374,Adaline,ÄorÄe BalaÅ¡eviÄ,884
375,Adel,Cage 9,215
376,Adel,Canterbury,1574
377,Adel,Castanets,2318
378,Adel,Christina Rosenvinge,1120
379,Adel,Coldplay/U2,284
380,Adel,Declan,2514
381,Adel,Discharge,1375
382,Adel,FM Belfast,663
383,Adel,Gwen Stefani,3104
384,Adel,Illdisposed,1781
385,Adel,Intimate Settings,25
386,Adel,Learns,2619
387,Adel,Library Association Canopy,2357
388,Adel,Masada,1127
389,Adel,Mina/ì¬ì§í/ìµì§í¸,445
390,Adel,Morrissey,501
391,Adel,Not Spherical Small,3015
392,Adel,Observation Itself Centre Georges,616
393,Adel,Odd Nosdam,988
394,Adel,P24,2990
395,Adel,Prophetic Dream,1388
396,Adel,Sara Bareilles,2168
397,Adel,Sp7,1232
398,Adel,Susanne SundfÃ¸r,2646
399,Adel,The Educational Those,2567
400,Adel,To Redraw,1477
401,Adel,VH1,2850
402,Adel,Vasco Rossi,3162
403,Adel,XBXRX,1558
404,Adelaide,Bury Your Dead,1256
405,Adelaide,Don Chezina,3817
406,Adelaide,Horse Feathers,101
407,Adelaide,Ikuta Toma & Yabu Kota,621
408,Adelaide,Jem,3271
409,Adelaide,Krautheim,3490
410,Adelaide,M.O.P.,1586
411,Adelaide,Nick Drake,3168
412,Adelaide,PyhÃ¤koulu,2448
413,Adelaide,Sea of Treachery,44
414,Adelaide,Sun Falls Particularly Hydroelectricity,2503
415,Adelaide,That Distributes December Starting,3477
416,Adelaide,The Cathedrals,443
417,Adelaide,Tomoki Hasegawa,2891
418,Adelaide,hitomi,102
419,Adelaide,ã¤ãããã®,550
420,Adeline,Amy Millan,781
421,Adeline,Arcade Fire,183
422,Adeline,At the Drive-In,352
423,Adeline,Built to Spill,101
424,Adeline,Daft Punk,203
425,Adeline,Daisuke Ishiwatari,243
426,Adeline,Dark Funeral,739
427,Adeline,Fugazi,424
428,Adeline,Goemon Production Team,985
429,Adeline,Gorillaz,367
430,Adeline,III,510
431,Adeline,Madvillain,240
432,Adeline,Manic Street Preachers,206
433,Adeline,Mastodon,156
434,Adeline,Minutemen,246
435,Adeline,Modest Mouse,270
436,Adeline,Neutral Milk Hotel,122
437,Adeline,Oasis,128
438,Adeline,Pavement,667
439,Adeline,Pink Floyd,110
440,Adeline,Pixies,341
441,Adeline,Radiohead,514
442,Adeline,Ravi Shankar,455
443,Adeline,Refused,152
444,Adeline,Talking Heads,158
445,Adeline,The Beatles,476
446,Adeline,The Black Keys,150
447,Adeline,The Clash,247
448,Adeline,The Fall,144
449,Adeline,The National,451
450,Adeline,The Replacements,261
451,Adeline,The Rolling Stones,118
452,Adeline,The Strokes,88
453,Adeline,Them Crooked Vultures,98
454,Adeline,Tom Waits,315
455,Adeline,Voicst,168
456,Adeline,of Montreal,290
457,Adeline,the Tea Merchants,478
458,Adeline,æ¤æ¾ä¼¸å¤«,590
459,Adella,...And You Will Know Us by the Trail of Dead,162
460,Adella,65daysofstatic,40
461,Adella,A Silver Mt. Zion,82
462,Adella,Alice in Chains,73
463,Adella,Amusement Parks on Fire,81
464,Adella,Andrew Bird,30
465,Adella,Antonio Vivaldi,47
466,Adella,At the Drive-In,81
467,Adella,Can,34
468,Adella,Classic Debates,68
469,Adella,Cro-Mags,151
470,Adella,Death,34
471,Adella,Dinosaur Jr.,44
472,Adella,Early Fall It Left Cbs,141
473,Adella,Efterklang,36
474,Adella,FantÃ´mas,133
475,Adella,Glenn Branca,33
476,Adella,Godspeed You! Black Emperor,80
477,Adella,Gray Strawberries,50
478,Adella,Herod Layne,62
479,Adella,Igorrr,31
480,Adella,Indexi,136
481,Adella,Kenny Rogers,177
482,Adella,Killing Chainsaw,58
483,Adella,Kingston Wall,13
484,Adella,LITE,129
485,Adella,LisabÃ¶,42
486,Adella,Miriam Stockley,108
487,Adella,Mr. Bungle,105
488,Adella,My Bloody Valentine,49
489,Adella,Nirvana,136
490,Adella,Pearl Jam,129
491,Adella,Perfume Genius,54
492,Adella,Polvo,172
493,Adella,Queens of the Stone Age,32
494,Adella,Radiohead,124
495,Adella,Red Hot Chili Peppers,47
496,Adella,S.O.M.A.,71
497,Adella,Scratch Acid,24
498,Adella,Sepultura,48
499,Adella,Shellac,186
500,Adella,Sigur RÃ³s,60
501,Adella,Slint,109
502,Adella,Sonic Youth,104
503,Adella,Stone Temple Pilots,24
504,Adella,The Benedictine Monks of Santo Domingo De Silos,41
505,Adella,The Jesus Lizard,51
506,Adella,The Jimi Hendrix Experience,57
507,Adella,The Little Hands of Asphalt,142
508,Adella,The Mars Volta,52
509,Adella,U.D.R.,36
510,Adella,toe,28
511,Adella,æè¤åç¾©,171
512,Adelle,25 Of Employees Facebook Profiles,5886
513,Adelle,ArantÃ© Spires,284
514,Adelle,Arcade Fire,1072
515,Adelle,Avenged Sevenfold,310
516,Adelle,Barenaked Ladies,783
517,Adelle,Ben Moody,3933
518,Adelle,Bloc Party,902
519,Adelle,Bruno Nicolai,1574
520,Adelle,Celestial Aeon Project,330
521,Adelle,Cities Fall,653
522,Adelle,Dan Balan,9400
523,Adelle,Death Cab for Cutie,1412
524,Adelle,Eagles,230
525,Adelle,Elliott Smith,5112
526,Adelle,Five Iron Frenzy,336
527,Adelle,Franz Ferdinand,662
528,Adelle,Hande Yener,10384
529,Adelle,Islands,894
530,Adelle,John Mayer,880
531,Adelle,Juliette and The Licks,642
532,Adelle,Lady Pank,10035
533,Adelle,Lindisfarne,339
534,Adelle,Metric,3780
535,Adelle,Moonlight Ransom,493
536,Adelle,Motion City Soundtrack,1584
537,Adelle,OK Go,1155
538,Adelle,PerroZompopo,474
539,Adelle,PokÃ©mon,327
540,Adelle,Project:KOMAKINO,990
541,Adelle,Queen,242
542,Adelle,Spoon,358
543,Adelle,Stars,2954
544,Adelle,Talek R. Julian,315
545,Adelle,Ted Leo and The Pharmacists,11291
546,Adelle,The Concretes,7443
547,Adelle,The Dears,1545
548,Adelle,The Killers,1155
549,Adelle,The Lonely Island,474
550,Adelle,The New Pornographers,2774
551,Adelle,The Shins,188
552,Adelle,The Spill Canvas,347
553,Adelle,The Strokes,2236
554,Adelle,The Thermals,860
555,Adelle,Tokyo Police Club,637
556,Adelle,Tom Petty and the Heartbreakers,1869
557,Adelle,Wilco,6398
558,Adelle,Yoshi's Story,680
559,Adelle,legend of zelda,228
560,Adelle,of Montreal,257
561,Adelle,ìí¬ë¦¿,6225
562,Adena,Amanda Blank,2165
563,Adena,Area,1970
564,Adena,Big H,833
565,Adena,"Bono, Glen Hansard & Damien Rice",626
566,Adena,Buttebozeman,1102
567,Adena,Charged Ions The,1279
568,Adena,Dwarves,2049
569,Adena,From Infalling A Profitable Monopoly,141
570,Adena,Goose,73
571,Adena,High Economic In Mostly Between,1189
572,Adena,Kamelot,1399
573,Adena,Magazine,243
574,Adena,Marlene Dietrich,249
575,Adena,Santa Hates You,499
576,Adena,The Primitives,1431
577,Adena,Topmodelz,17
578,Adena,Trina,510
579,Adena,Tuff,655
580,Adena,Vitamin String Quartet,943
581,Adey,Behemoth,2322
582,Adey,Being Uncertain In Turkish,3673
583,Adey,Blessure Grave,881
584,Adey,Bruno Nicolai,1498
585,Adey,Consequentialist Theory An,2208
586,Adey,Cool Hand Luke,3590
587,Adey,Cristina Mel,3241
588,Adey,Economic,568
589,Adey,Festival Event 1784,673
590,Adey,Imaad Wasif,260
591,Adey,Improving Agriculture 180,1595
592,Adey,Intrusion Led,1340
593,Adey,JYJ,1173
594,Adey,Johannes Brahms,2800
595,Adey,Keith Sweat,3715
596,Adey,Les Wriggles,1116
597,Adey,Manic Street Preachers,3041
598,Adey,Monica,37
599,Adey,Nicolas Jaar,3647
600,Adey,PMX,1712
601,Adey,Punk Goes...,1831
602,Adey,Queen,2609
603,Adey,Retro,3338
604,Adey,Seabound,2338
605,Adey,Tata Young,104
606,Adey,The,999
607,Adey,The Names,2931
608,Adey,The Ronettes,900
609,Adey,The Sex Pistols,3207
610,Adey,Up Hospitals Iv,1620
611,Adey,Year,572
612,Adey,blink-182,78
613,Adey,æµå£å²é,739
614,Adora,125 Increase Large Elite,43
615,Adora,ABBA,40
616,Adora,Alanis Morissette,30
617,Adora,Bananarama,8
618,Adora,Barbie,26
619,Adora,Bay City Rollers,40
620,Adora,BeyoncÃ©,32
621,Adora,Billy Connolly,15
622,Adora,Boom Crash Opera,46
623,Adora,Boz Scaggs,12
624,Adora,Britney Spears,13
625,Adora,Culture Club,40
626,Adora,Donna Summer,18
627,Adora,Extreme,10
628,Adora,Graham Bonnet,12
629,Adora,Hall & Oates,38
630,Adora,HariÃ§ten Gazelciler,22
631,Adora,Heart,13
632,Adora,Icehouse,35
633,Adora,Jeff Buckley,19
634,Adora,Joss Stone,16
635,Adora,Julian Lennon,15
636,Adora,Kajagoogoo,16
637,Adora,Madonna,63
638,Adora,Maroon 5,19
639,Adora,MÃ¤rtini BrÃ¶s,15
640,Adora,Nickelback,37
641,Adora,Peter Cox,15
642,Adora,Red Hot Chili Peppers,9
643,Adora,Ricki-Lee,16
644,Adora,Rihanna,16
645,Adora,RondÃ² Veneziano,42
646,Adora,Skid Row,19
647,Adora,The Doobie Brothers,14
648,Adora,The Living End,3
649,Adora,The Power Station,27
650,Adora,The Pussycat Dolls,35
651,Adora,The Unknownn,19
652,Adora,Thompson Twins,36
653,Adora,Wham!,18
654,Adora,Yusef Lateef,67
655,Adora,genCAB,18
656,Adoree,AC/DC,490
657,Adoree,Aleks Syntek,382
658,Adoree,America,67
659,Adoree,Black Sabbath,71
660,Adoree,Danger Danger,75
661,Adoree,David Lee Roth,106
662,Adoree,Deep Purple,769
663,Adoree,Def Leppard,118
664,Adoree,Dire Straits,85
665,Adoree,Dokken,73
666,Adoree,Helloween,62
667,Adoree,Iron Maiden,202
668,Adoree,Jethro Tull,66
669,Adoree,Jimi Hendrix,74
670,Adoree,KISS,130
671,Adoree,Katy Perry,312
672,Adoree,Ke$ha,65
673,Adoree,Kings of Leon,563
674,Adoree,L.A. Guns,81
675,Adoree,Led Zeppelin,536
676,Adoree,Litfiba,156
677,Adoree,Megadeth,573
678,Adoree,MotÃ¶rhead,62
679,Adoree,Neil Young,107
680,Adoree,Queen,128
681,Adoree,Quiet Riot,155
682,Adoree,Rainbow,312
683,Adoree,Ramones,107
684,Adoree,Saxon,95
685,Adoree,Scorpions,95
686,Adoree,Skid Row,143
687,Adoree,Testament,80
688,Adoree,The Cult,287
689,Adoree,The Doors,147
690,Adoree,The Rorschach Garden,666
691,Adoree,Treat,54
692,Adoree,Vixen,95
693,Adoree,Whitesnake,244
694,Adoree,Wolfmother,88
695,Adoree,Yes,59
696,Adrea,12th Planet,4204
697,Adrea,Across the Universe,849
698,Adrea,Afel Bocoum & Alkibar,1254
699,Adrea,Agricultural Management Diverging From Other,1105
700,Adrea,Argent,811
701,Adrea,Bioethics Ft Popocatepetl,2422
702,Adrea,Black Country Communion,591
703,Adrea,Bluvertigo,1906
704,Adrea,Cubism Antonio Australia,128
705,Adrea,Envus,256
706,Adrea,Hangin Freud,2612
707,Adrea,Imperia,1384
708,Adrea,James Oclahoma,2232
709,Adrea,Lito y Polaco,2348
710,Adrea,Madball,1143
711,Adrea,Nile,4256
712,Adrea,Of,866
713,Adrea,PMMP,3026
714,Adrea,Parts Or,697
715,Adrea,Pleq & Segue,1617
716,Adrea,Renato Russo,1789
717,Adrea,Ricky Warwick,2616
718,Adrea,Rise Against,3273
719,Adrea,Simon & Garfunkel,2382
720,Adrea,T9,412
721,Adrea,The,1685
722,Adrea,The Derek Trucks Band,3180
723,Adrea,Thomson 1881 Manitou On,2994
724,Adrea,Toquinho,3665
725,Adrea,Vico C,525
726,Adrea,Warren Smith,598
727,Adrea,pasi,2006
728,Adrea,Ð¡ÑÑ,634
729,Adriaens,Alan Rickman & Johnny Depp,537
730,Adriaens,And Counterpoint,4343
731,Adriaens,Fruitfully And See Rivercourse,4566
732,Adriaens,Interface They Level Which Results,4494
733,Adriaens,Ismael Serrano,4643
734,Adriaens,Kangding Ray,1427
735,Adriaens,The Charlatans,2349
736,Adriaens,Train of Thought,1781
737,Adriaens,beta satan,4864
738,Adriaens,k-os,2821
739,Adrianna,Avril Lavigne,1801
740,Adrianna,Basshunter,77
741,Adrianna,Brother Beyond,330
742,Adrianna,Cascada,95
743,Adrianna,Chris Brown,169
744,Adrianna,Christina Aguilera,187
745,Adrianna,Christopher Von Uckermann,232
746,Adrianna,Cody Simpson,3471
747,Adrianna,Colbie Caillat,266
748,Adrianna,Dulce MarÃ­a,2134
749,Adrianna,Eiza Gonzalez,468
750,Adrianna,EsmÃ©e Denters,84
751,Adrianna,Evanescence,147
752,Adrianna,Gallows,1102
753,Adrianna,Jason DerÃ¼lo,360
754,Adrianna,Jay Sean,72
755,Adrianna,Jesse & Joy,169
756,Adrianna,Katy Perry,863
757,Adrianna,Ke$ha,1000
758,Adrianna,Kelly Rowland,111
759,Adrianna,Leighton Meester,1568
760,Adrianna,Light This City,283
761,Adrianna,Liz Lee,360
762,Adrianna,Mariana Rios,144
763,Adrianna,Marjorie Estiano,191
764,Adrianna,Miley Cyrus,808
765,Adrianna,Miranda Cosgrove,2113
766,Adrianna,Nanotek,2675
767,Adrianna,Nick Carter,126
768,Adrianna,Nicole Scherzinger,165
769,Adrianna,Occasionally,2555
770,Adrianna,OneRepublic,101
771,Adrianna,P!nk,226
772,Adrianna,Paramore,181
773,Adrianna,PeeWee,113
774,Adrianna,Pixie Lott,252
775,Adrianna,Psy'Aviah,2116
776,Adrianna,RBD,1963
777,Adrianna,Rihanna,1406
778,Adrianna,Selena Gomez & the Scene,665
779,Adrianna,Stan Walker,239
780,Adrianna,The Aluminum Group,162
781,Adrianna,The Pretty Reckless,444
782,Adrianna,Time Whereas Faults In The,2270
783,Adrianna,Wanessa,99
784,Adrianna,Willow Smith,189
785,Adrianna,[unknown],104
786,Adrianne,Alice in Chains,480
787,Adrianne,Augustana,259
788,Adrianne,Black Buddafly,402
789,Adrianne,Bob Dylan,198
790,Adrianne,Bruce Springsteen,517
791,Adrianne,Cobra Starship,216
792,Adrianne,Creed,251
793,Adrianne,Dashboard Confessional,263
794,Adrianne,Dizzy Mizz Lizzy,461
795,Adrianne,Ellie Goulding,270
796,Adrianne,Florence + the Machine,258
797,Adrianne,Forested,428
798,Adrianne,Four Jacks,538
799,Adrianne,Green Day,221
800,Adrianne,Gregor Narholz,514
801,Adrianne,HIM,490
802,Adrianne,Hinder,479
803,Adrianne,Jam & Spoon,328
804,Adrianne,John Mayer,212
805,Adrianne,Kasabian,194
806,Adrianne,Kashmir,270
807,Adrianne,Lifehouse,506
808,Adrianne,MaxÃ¯mo Park,294
809,Adrianne,Metro Station,304
